RE;ALPHA;CX;CY;MZ
40000;-20.0;0.24125;-0.6362;0.0122
40000;-19.0;0.23165;-0.6086;0.0068
40000;-18.0;0.22137;-0.581;0.002
40000;-17.0;0.21123;-0.5544;-0.0024
40000;-16.0;0.20133;-0.5289;-0.0065
40000;-15.0;0.19194;-0.505;-0.0103
40000;-14.0;0.18162;-0.4809;-0.0134
40000;-13.0;0.17087;-0.4569;-0.0157
40000;-12.0;0.16098;-0.4361;-0.0178
40000;-11.0;0.15183;-0.4192;-0.0197
40000;-10.0;0.14096;-0.4004;-0.0203
40000;-9.0;0.13152;-0.3878;-0.0204
40000;-8.0;0.12257;-0.382;-0.019
40000;-7.0;0.11387;-0.3772;-0.0177
40000;-6.0;0.10389;-0.3544;-0.0221
40000;-5.0;0.09225;-0.3109;-0.0297
40000;-4.0;0.0794;-0.2606;-0.0327
40000;-3.0;0.0678;-0.1987;-0.0364
40000;-1.0;0.03465;0.0138;-0.018
40000;0.0;0.03488;-0.1773;0.0289
40000;1.0;0.03283;0.5889;-0.1467
40000;2.0;0.03464;0.7614;-0.1607
40000;3.0;0.04067;0.832;-0.1604
40000;4.0;0.04907;0.8965;-0.1633
40000;5.0;0.03052;1.2351;-0.1779
40000;6.0;0.03936;1.2785;-0.157
40000;7.0;0.0499;1.4258;-0.1585
40000;8.0;0.0662;1.5338;-0.1547
40000;9.0;0.08535;1.5306;-0.1389
40000;10.0;0.10413;1.4543;-0.1235
40000;11.0;0.13199;1.3291;-0.1316
40000;12.0;0.18811;1.254;-0.1875
40000;14.0;0.21349;0.9963;-0.1554
40000;15.0;0.22541;0.9904;-0.1573
40000;16.0;0.23756;0.9904;-0.1592
40000;17.0;0.25135;0.9978;-0.161
40000;18.0;0.26322;0.9964;-0.164
40000;19.0;0.27613;0.9994;-0.167
40000;20.0;0.28855;1.0002;-0.1705
50000;-17.0;0.20995;-0.5522;-0.0021
50000;-16.0;0.20022;-0.5271;-0.0063
50000;-14.0;0.17989;-0.4784;-0.0129
50000;-13.0;0.16953;-0.4552;-0.0154
50000;-12.0;0.15934;-0.4337;-0.0174
50000;-11.0;0.14986;-0.4158;-0.0193
50000;-10.0;0.13965;-0.3986;-0.0202
50000;-9.0;0.12949;-0.3836;-0.0201
50000;-8.0;0.12039;-0.3756;-0.0189
50000;-7.0;0.11232;-0.3744;-0.0175
50000;-6.0;0.10139;-0.3515;-0.0196
50000;-5.0;0.09025;-0.3022;-0.0315
50000;-4.0;0.07727;-0.2357;-0.0411
50000;0.0;0.03367;0.5207;-0.1549
50000;1.0;0.0325;0.6559;-0.1594
50000;2.0;0.03326;0.7765;-0.1636
50000;3.0;0.03965;0.8437;-0.1633
50000;4.0;0.03834;1.0632;-0.1836
50000;5.0;0.02854;1.2498;-0.1725
50000;6.0;0.03783;1.3177;-0.1639
50000;7.0;0.04785;1.449;-0.1637
50000;8.0;0.0642;1.5489;-0.158
50000;9.0;0.08378;1.5394;-0.1403
50000;10.0;0.10284;1.4592;-0.1236
50000;11.0;0.12944;1.3396;-0.13
50000;12.0;0.18467;1.2643;-0.1824
50000;13.0;0.20132;1.2799;-0.1908
50000;14.0;0.21657;1.3032;-0.1984
50000;15.0;0.23188;1.3322;-0.2055
50000;16.0;0.24382;1.3506;-0.216
50000;17.0;0.25679;1.3786;-0.225
50000;18.0;0.26985;1.4088;-0.2338
50000;19.0;0.28272;1.439;-0.243
50000;20.0;0.29453;1.4677;-0.2531
60000;-20.0;0.24049;-0.6328;0.0121
60000;-18.0;0.21968;-0.5777;0.0024
60000;-17.0;0.20944;-0.5514;-0.002
60000;-16.0;0.19889;-0.5259;-0.0058
60000;-15.0;0.18865;-0.5012;-0.0093
60000;-14.0;0.17892;-0.4777;-0.0125
60000;-13.0;0.16825;-0.4541;-0.0147
60000;-12.0;0.15799;-0.4325;-0.0168
60000;-11.0;0.14806;-0.4134;-0.0185
60000;-10.0;0.13799;-0.396;-0.0194
60000;-9.0;0.12822;-0.3818;-0.0195
60000;-8.0;0.11909;-0.3733;-0.0185
60000;-7.0;0.11065;-0.3722;-0.016
60000;-5.0;0.08898;-0.3022;-0.03
60000;-3.0;0.06231;-0.0968;-0.0684
60000;0.0;0.03278;0.5218;-0.1549
60000;1.0;0.03162;0.6615;-0.1604
60000;2.0;0.03229;0.7876;-0.1659
60000;3.0;0.03747;0.8979;-0.173
60000;4.0;0.02579;1.141;-0.1831
60000;5.0;0.02991;1.2724;-0.178
60000;6.0;0.03637;1.341;-0.1684
60000;7.0;0.0467;1.4692;-0.1678
60000;8.0;0.06296;1.5575;-0.1598
60000;9.0;0.08376;1.5448;-0.1411
60000;10.0;0.10405;1.4442;-0.1235
60000;11.0;0.1359;1.3238;-0.1377
60000;13.0;0.19958;1.2953;-0.1856
60000;14.0;0.21438;1.3046;-0.1966
60000;15.0;0.22987;1.3351;-0.2034
60000;16.0;0.24243;1.3525;-0.2148
60000;17.0;0.25541;1.3792;-0.2244
60000;18.0;0.26847;1.409;-0.2335
60000;19.0;0.28143;1.4391;-0.2428
60000;20.0;0.29255;1.4659;-0.2541
70000;-18.0;0.21928;-0.5773;0.0026
70000;-16.0;0.20122;-0.4265;-0.0131
70000;-15.0;0.19171;-0.4196;-0.0145
70000;-14.0;0.18167;-0.4115;-0.0159
70000;-13.0;0.17147;-0.4022;-0.0173
70000;-12.0;0.16059;-0.3906;-0.0184
70000;-11.0;0.15045;-0.3796;-0.0197
70000;-10.0;0.1395;-0.3659;-0.02
70000;-9.0;0.12939;-0.3549;-0.02
70000;-8.0;0.11988;-0.3479;-0.019
70000;-7.0;0.11106;-0.3493;-0.0157
70000;-6.0;0.10128;-0.335;-0.018
70000;-5.0;0.08932;-0.2996;-0.0232
70000;-4.0;0.07632;-0.2244;-0.0397
70000;0.0;0.03215;0.521;-0.1548
70000;1.0;0.03099;0.6655;-0.1612
70000;2.0;0.03158;0.7962;-0.1677
70000;3.0;0.0316;0.9874;-0.1848
70000;4.0;0.02006;1.2229;-0.1912
70000;5.0;0.02917;1.2884;-0.1813
70000;6.0;0.03528;1.3548;-0.1711
70000;7.0;0.04581;1.484;-0.1711
70000;8.0;0.06236;1.5649;-0.1612
70000;9.0;0.0878;1.5387;-0.1403
70000;10.0;0.11308;1.3919;-0.1276
70000;11.0;0.13355;1.2296;-0.1182
70000;13.0;0.19579;1.0329;-0.1488
70000;14.0;0.20841;1.0169;-0.1511
70000;15.0;0.22073;1.0053;-0.1542
70000;16.0;0.23325;0.9994;-0.1574
70000;17.0;0.24594;0.9974;-0.1608
70000;18.0;0.25888;0.9978;-0.1643
70000;19.0;0.272;0.9994;-0.168
70000;20.0;0.28537;1.0017;-0.1717
80000;-20.0;0.23968;-0.6319;0.0124
80000;-19.0;0.22954;-0.6042;0.0074
80000;-18.0;0.2192;-0.5771;0.0027
80000;-17.0;0.20846;-0.551;-0.0013
80000;-16.0;0.19788;-0.5256;-0.0051
80000;-15.0;0.18742;-0.501;-0.0083
80000;-14.0;0.17717;-0.4774;-0.0113
80000;-13.0;0.16693;-0.4545;-0.0137
80000;-12.0;0.15684;-0.4333;-0.0158
80000;-11.0;0.14657;-0.4133;-0.0172
80000;-10.0;0.1365;-0.3958;-0.0182
80000;-9.0;0.1272;-0.3825;-0.0187
80000;-8.0;0.11796;-0.3737;-0.0176
80000;-7.0;0.10964;-0.3739;-0.0148
80000;-6.0;0.09952;-0.3521;-0.0184
80000;-5.0;0.08756;-0.3097;-0.0251
80000;-4.0;0.07449;-0.2221;-0.0438
80000;-3.0;0.06043;-0.0851;-0.0703
80000;-2.0;0.0473;0.1135;-0.1062
80000;0.0;0.03182;0.5185;-0.1542
80000;1.0;0.03056;0.6666;-0.1615
80000;2.0;0.03082;0.8105;-0.1706
80000;3.0;0.0261;1.0363;-0.1889
80000;4.0;0.02066;1.2304;-0.1919
80000;5.0;0.02845;1.2978;-0.1833
80000;6.0;0.03449;1.3638;-0.173
80000;7.0;0.04508;1.4939;-0.1731
80000;10.0;0.12134;1.2899;-0.1221
90000;-20.0;0.23956;-0.6317;0.0125
90000;-19.5;0.23452;-0.6178;0.01
90000;-19.0;0.22942;-0.6041;0.0075
90000;-18.5;0.22423;-0.5906;0.0052
90000;-18.0;0.21905;-0.5771;0.0029
90000;-17.5;0.21363;-0.564;0.001
90000;-17.0;0.20826;-0.5511;-0.001
90000;-16.0;0.19753;-0.5259;-0.0047
90000;-15.5;0.19244;-0.5137;-0.0066
90000;-15.0;0.18699;-0.5015;-0.0079
90000;-14.5;0.18192;-0.4895;-0.0095
90000;-13.0;0.16644;-0.455;-0.0132
90000;-12.5;0.16133;-0.4441;-0.0143
90000;-12.0;0.15635;-0.4336;-0.0153
90000;-11.5;0.15161;-0.424;-0.0163
90000;-11.0;0.14619;-0.4141;-0.0168
90000;-10.5;0.14097;-0.4046;-0.0172
90000;-10.0;0.13603;-0.3962;-0.0177
90000;-9.5;0.13151;-0.3894;-0.0182
90000;-9.0;0.12627;-0.3819;-0.018
90000;-8.5;0.12145;-0.3759;-0.0176
90000;-8.0;0.11732;-0.3733;-0.0171
90000;-7.5;0.11274;-0.3716;-0.0156
90000;-7.0;0.10892;-0.3739;-0.0138
90000;-6.5;0.10395;-0.3672;-0.014
90000;-6.0;0.09898;-0.3541;-0.0169
90000;-5.5;0.09314;-0.3373;-0.0189
90000;-5.0;0.08714;-0.3105;-0.0247
90000;-4.5;0.08072;-0.272;-0.0332
90000;-4.0;0.074;-0.2255;-0.0423
90000;-3.5;0.06701;-0.1618;-0.0552
90000;-3.0;0.05982;-0.082;-0.0707
90000;-2.0;0.04659;0.1115;-0.1049
90000;0.0;0.03156;0.5145;-0.1539
90000;0.5;0.0305;0.5941;-0.1578
90000;1.0;0.03029;0.6653;-0.1613
90000;2.0;0.02898;0.8525;-0.1777
90000;2.5;0.02643;0.9702;-0.1878
90000;3.0;0.022;1.058;-0.1888
90000;3.5;0.01745;1.2038;-0.199
90000;4.0;0.02334;1.2236;-0.1922
90000;4.5;0.02564;1.2646;-0.1886
90000;5.0;0.02786;1.3039;-0.1846
90000;5.5;0.03056;1.3363;-0.1795
90000;6.0;0.03387;1.3715;-0.1747
90000;6.5;0.03838;1.4326;-0.1744
90000;7.0;0.04459;1.5047;-0.1754
90000;7.5;0.05245;1.5559;-0.1718
90000;17.0;0.25293;1.3803;-0.224
90000;17.5;0.25946;1.3952;-0.2284
90000;18.0;0.26614;1.4103;-0.2329
90000;18.5;0.27238;1.4234;-0.2387
90000;19.0;0.27857;1.4375;-0.2441
90000;19.5;0.28477;1.452;-0.2492
90000;20.0;0.29094;1.4669;-0.2542
100000;-19.5;0.2348;-0.6172;0.0098
100000;-19.0;0.22931;-0.6042;0.0077
100000;-18.5;0.22423;-0.5905;0.0053
100000;-18.0;0.21888;-0.5774;0.0032
100000;-17.5;0.21363;-0.5641;0.0011
100000;-17.0;0.20811;-0.5514;-0.0008
100000;-16.5;0.20284;-0.5387;-0.0028
100000;-16.0;0.1973;-0.5263;-0.0044
100000;-15.5;0.19206;-0.5142;-0.0062
100000;-15.0;0.18672;-0.502;-0.0076
100000;-14.5;0.18165;-0.4901;-0.0091
100000;-13.5;0.17146;-0.467;-0.0119
100000;-13.0;0.16614;-0.4557;-0.0128
100000;-12.5;0.16099;-0.4448;-0.0138
100000;-12.0;0.15592;-0.4342;-0.0148
100000;-11.5;0.15095;-0.4242;-0.0157
100000;-10.0;0.13559;-0.3969;-0.0172
100000;-9.5;0.13068;-0.3891;-0.0174
100000;-9.0;0.12611;-0.3828;-0.0176
100000;-8.5;0.12137;-0.3774;-0.0174
100000;-8.0;0.1165;-0.3725;-0.0165
100000;-7.5;0.11236;-0.3718;-0.0152
100000;-7.0;0.10903;-0.376;-0.0137
100000;-6.5;0.10359;-0.3684;-0.0131
100000;-6.0;0.09849;-0.3562;-0.0155
100000;-5.5;0.09291;-0.3378;-0.0188
100000;-5.0;0.08686;-0.3136;-0.0232
100000;-4.5;0.08044;-0.2762;-0.0313
100000;-4.0;0.07367;-0.2273;-0.0415
100000;-3.5;0.06671;-0.166;-0.0536
100000;-3.0;0.05935;-0.0828;-0.0702
100000;-2.5;0.05198;0.0255;-0.0913
100000;-2.0;0.04596;0.1158;-0.1055
100000;0.5;0.03028;0.5917;-0.1574
100000;1.0;0.02972;0.6745;-0.163
100000;1.5;0.02887;0.7856;-0.1741
100000;2.0;0.0272;0.8858;-0.183
100000;2.5;0.02316;1.0014;-0.1911
100000;3.0;0.01964;1.0673;-0.1882
100000;3.5;0.01823;1.205;-0.1991
100000;4.0;0.02332;1.2267;-0.193
100000;4.5;0.0252;1.2694;-0.1897
100000;5.0;0.0274;1.3078;-0.1856
100000;5.5;0.0301;1.3399;-0.1804
100000;6.0;0.03341;1.3785;-0.1763
100000;6.5;0.03793;1.4419;-0.1763
100000;7.0;0.04415;1.5105;-0.1763
100000;7.5;0.05264;1.5598;-0.1718
100000;17.5;0.25894;1.3949;-0.2287
100000;18.0;0.26552;1.4083;-0.2343
100000;18.5;0.27193;1.4224;-0.2397
100000;19.0;0.27819;1.4368;-0.245
100000;19.5;0.28441;1.4514;-0.2502
100000;20.0;0.29046;1.4662;-0.2551
110000;-19.5;0.23447;-0.618;0.0102
110000;-19.0;0.22932;-0.6042;0.0078
110000;-18.5;0.22414;-0.5906;0.0055
110000;-18.0;0.21885;-0.5776;0.0034
110000;-17.5;0.21354;-0.5644;0.0013
110000;-17.0;0.20807;-0.5517;-0.0005
110000;-16.5;0.20257;-0.5392;-0.0024
110000;-16.0;0.19735;-0.5267;-0.0043
110000;-15.5;0.19175;-0.5147;-0.0058
110000;-15.0;0.18658;-0.5026;-0.0073
110000;-13.5;0.17501;-0.4105;-0.0147
110000;-13.0;0.16975;-0.4053;-0.0154
110000;-12.5;0.16449;-0.3998;-0.016
110000;-12.0;0.1593;-0.3941;-0.0167
110000;-11.5;0.15412;-0.3883;-0.0174
110000;-11.0;0.14825;-0.3812;-0.0175
110000;-10.5;0.14285;-0.3744;-0.0177
110000;-10.0;0.13759;-0.3678;-0.0179
110000;-9.5;0.13251;-0.3617;-0.0181
110000;-9.0;0.12781;-0.3569;-0.0183
110000;-8.5;0.12234;-0.3509;-0.0177
110000;-8.0;0.11743;-0.3468;-0.0169
110000;-7.5;0.113;-0.3458;-0.0158
110000;-7.0;0.10945;-0.3515;-0.0138
110000;-6.5;0.10426;-0.3485;-0.0123
110000;-6.0;0.09949;-0.34;-0.0143
110000;-5.5;0.09369;-0.3274;-0.0154
110000;-5.0;0.08778;-0.3058;-0.0202
110000;-4.5;0.08152;-0.2725;-0.0279
110000;-4.0;0.07487;-0.2345;-0.0351
110000;-3.5;0.06769;-0.1733;-0.0484
110000;-3.0;0.06039;-0.1048;-0.0616
110000;-2.5;0.05195;0.0124;-0.0875
110000;0.5;0.0297;0.6015;-0.159
110000;1.0;0.0283;0.7084;-0.1685
110000;1.5;0.02738;0.8158;-0.179
110000;2.0;0.02434;0.9281;-0.189
110000;2.5;0.02053;1.0178;-0.1919
110000;3.0;0.01525;1.1743;-0.2054
110000;3.5;0.01923;1.2003;-0.1987
110000;4.0;0.02305;1.2302;-0.1938
110000;4.5;0.02485;1.2729;-0.1905
110000;5.0;0.02699;1.311;-0.1864
110000;5.5;0.02973;1.3431;-0.1812
110000;6.0;0.03305;1.3854;-0.1778
110000;6.5;0.03764;1.4512;-0.1782
110000;7.0;0.04391;1.5177;-0.1775
110000;16.0;0.23801;1.3552;-0.2131
110000;16.5;0.24491;1.371;-0.2166
110000;17.0;0.25182;1.3822;-0.223
110000;17.5;0.25855;1.3948;-0.229
110000;18.0;0.26516;1.4085;-0.2345
110000;18.5;0.27162;1.4226;-0.2399
110000;19.0;0.27791;1.4371;-0.2452
110000;19.5;0.28411;1.4518;-0.2502
110000;20.0;0.29022;1.4669;-0.2548
130000;-19.5;0.23447;-0.6181;0.0104
130000;-18.5;0.22404;-0.5913;0.0058
130000;-18.0;0.2188;-0.5783;0.0038
130000;-16.5;0.20254;-0.5398;-0.0021
130000;-16.0;0.19697;-0.5277;-0.0036
130000;-15.5;0.19153;-0.5157;-0.0053
130000;-15.0;0.18619;-0.5038;-0.0067
130000;-14.5;0.18104;-0.4919;-0.0082
130000;-14.0;0.17607;-0.4802;-0.0097
130000;-13.0;0.1657;-0.4579;-0.012
130000;-12.5;0.1604;-0.447;-0.0128
130000;-12.0;0.15523;-0.4366;-0.0137
130000;-11.5;0.1501;-0.4264;-0.0144
130000;-11.0;0.14501;-0.4168;-0.0151
130000;-10.5;0.13998;-0.4076;-0.0156
130000;-10.0;0.13507;-0.3992;-0.0161
130000;-9.5;0.13043;-0.3919;-0.0166
130000;-9.0;0.12526;-0.3848;-0.0164
130000;-8.5;0.12028;-0.3786;-0.0159
130000;-8.0;0.11569;-0.3744;-0.0152
130000;-7.5;0.1115;-0.3733;-0.014
130000;-7.0;0.10791;-0.3775;-0.0118
130000;-6.5;0.10313;-0.372;-0.012
130000;-6.0;0.09778;-0.3613;-0.0128
130000;-5.5;0.09231;-0.3417;-0.0171
130000;-5.0;0.08631;-0.3188;-0.0211
130000;-4.5;0.0799;-0.2834;-0.0285
130000;-4.0;0.07295;-0.2308;-0.0401
130000;-3.5;0.06573;-0.164;-0.0539
130000;-3.0;0.0586;-0.087;-0.0686
130000;-2.5;0.05117;0.0174;-0.0886
130000;-2.0;0.04494;0.1185;-0.1054
130000;0.5;0.02735;0.6564;-0.1677
130000;1.0;0.02593;0.7571;-0.1764
130000;1.5;0.02349;0.8589;-0.186
130000;2.0;0.02013;0.973;-0.1947
130000;2.5;0.01758;1.0298;-0.1915
130000;3.0;0.01649;1.1686;-0.204
130000;3.5;0.02097;1.1913;-0.198
130000;4.0;0.02247;1.2362;-0.1952
130000;4.5;0.02424;1.2786;-0.192
130000;5.0;0.02646;1.3149;-0.1876
130000;5.5;0.02908;1.3504;-0.1829
130000;6.0;0.03247;1.3983;-0.1805
130000;6.5;0.03705;1.4654;-0.1809
130000;7.0;0.04407;1.5329;-0.1796
130000;17.5;0.24964;1.0034;-0.1632
130000;18.0;0.25638;1.003;-0.1652
130000;18.5;0.26312;1.0032;-0.1672
130000;19.0;0.26989;1.0038;-0.1692
130000;19.5;0.27673;1.0048;-0.1712
130000;20.0;0.28349;1.0064;-0.173
150000;-19.5;0.23438;-0.6184;0.0106
150000;-19.0;0.22928;-0.6054;0.0083
150000;-18.5;0.2241;-0.5922;0.0062
150000;-18.0;0.21884;-0.5787;0.0041
150000;-17.5;0.21341;-0.5657;0.0021
150000;-17.0;0.20801;-0.5534;0.0003
150000;-16.5;0.20237;-0.5409;-0.0015
150000;-15.5;0.19128;-0.5169;-0.0047
150000;-15.0;0.18598;-0.505;-0.0062
150000;-14.5;0.18094;-0.493;-0.0078
150000;-13.5;0.17074;-0.4703;-0.0104
150000;-13.0;0.16531;-0.4592;-0.0113
150000;-12.5;0.1601;-0.4485;-0.0122
150000;-12.0;0.15496;-0.438;-0.013
150000;-11.5;0.14983;-0.428;-0.0138
150000;-11.0;0.14472;-0.4183;-0.0144
150000;-10.5;0.13965;-0.4092;-0.0149
150000;-10.0;0.13465;-0.4006;-0.0153
150000;-9.5;0.1298;-0.3928;-0.0157
150000;-9.0;0.12521;-0.3864;-0.0159
150000;-8.5;0.12031;-0.3808;-0.0156
150000;-8.0;0.1154;-0.3761;-0.0146
150000;-7.5;0.11107;-0.3746;-0.0133
150000;-7.0;0.10721;-0.3777;-0.011
150000;-6.5;0.1028;-0.3744;-0.0106
150000;-4.5;0.07971;-0.2869;-0.0273
